"session_id","date","start_time","end_time","title","description","recorded","type","skill_level","speakers","tracks","room","room_os","level","cost"
"1062","2026-03-05","2:30 PM","3:30 PM","Data sources for your next campus story","From campus speech policies to federal funding cuts, higher education is in the headlines now more than ever. As former reporting interns for The Chronicle of Higher Education, we'll lead a lightning round on data sources we used to cover some of the hottest stories in higher ed: from the fall of affirmative action to a state-mandated purge of general education courses. This session is ideal for student journalists, and useful for any reporter covering the education beat. Attendees will need to bring their own laptop (no tablets) to participate in this class.","false","Hands-on","Beginner","Declan Bradley, Oberlin College; Garrett Shanley, Miami Herald","","102","BYO","1",""
"1131","2026-03-05","2:30 PM","3:30 PM","Detangling federal lobbying disclosures with LobbyR","Political influence is getting harder and harder to track, but the Lobbying Disclosure Act Reports helps cut through some of the noise. With Lobbyr, researchers, journalists, and others can easily access, clean, and visualize a much more comprehensive version of federal lobbying disclosures to understand what companies, groups and other interests are asking Congress and the administration for. In this session, you'll learn how just a few lines of R code will allow you to query, summarize, and plot real-world lobbying transparency data, enabling rapid insights and automated workflows. And there's no complex setup required. If you want to ask questions like ""who lobbied on issue X in the last five years?"", or ""how many dollars did registrant Y report?"", or ""are there clients/registrants filing that overlap?"", LobbyR makes this work programmatic, reproducible, and transparent. Participants should have a basic knowledge of R. Laptops will be provided. Participants should pre-register for an API key through this link: https://lda.gov/api/register/","false","Hands-on","Intermediate","Chris Cioffi, Bloomberg","","203","PC","2",""
"1230","2026-03-05","2:30 PM","3:30 PM","Finding needles in haystacks with fuzzy matching","Fuzzy matching is a process for linking up records that are similar but not quite the same. It is often an important part of data-driven investigations as a way to identify connections between public figures, key people and companies that are relevant to a story. Max Harlow, who developed the CSV Match command line tool, will cover how fuzzy matching typically fits into the investigative process, with story examples, as well as show you how to perform different types of fuzzy match on some real datasets, including the pros and cons of each. This session is good for: intermediate participants with some data experience. Laptops will be provided.","false","Hands-on","Intermediate","Max Harlow, Bloomberg News","","104","OSX","1",""
"1272","2026-03-05","2:30 PM","6:00 PM","Fun with shapes: Scripted mapping in R or Python","","false","Hands-on","Advanced","Allie Kanik, Hearst; Ryan Little, The Baltimore Banner; Cam Rodriguez, The New York Times","Mapping","209","OSX","2","45"
"1012","2026-03-05","3:45 PM","4:45 PM","Collaborating in an intergenerational workspace: let's get to yes","","true","Panel","","Emma Carew Grovum, Kimbap Media / Media Bridge Partners","Career","White River G","","1",""
"1039","2026-03-05","3:45 PM","4:45 PM","Data in the world of audio","","true","Panel","","","","White River D","","1",""
"1063","2026-03-05","3:45 PM","4:45 PM","10 things you didn't know you could do in R","R is great for quick data exploration, visualization and spatial analysis. But did you know you can create GIFs, edit audio, video and images, send customized emails, analyze large databases and chat with Claude all without ever leaving the cozy comfort of R? In this session, we'll zip through a few lesser-known R packages and functions for working with large language models (ellmer, btw), databases (arrow, duckplyr) and media (magick, av, tesseract). Though pitched at intermediate users interested in getting more mileage out of R, this demo will also give beginners a taste of what's possible. As a bonus, we'll invite attendees to complete a short survey sharing some of the unexpected ways they use R in their newsrooms and circulate the results in a tip sheet after the session. This session is good for people with some experience working with R. Laptops will be provided.","false","Hands-on","Intermediate","Amy DiPierro, EdSource","","204","PC","2",""
"1151","2026-03-05","3:45 PM","4:45 PM","React 101: Demystifying arrays, state values and components","Do you use React to create interactives, or are you interested in solidifying your knowledge of component-based javascript libraries? Join this hands-on session to nail down the basics of mapping, filtering, state values, useEffects and other confounding concepts. This session is good for those with some experience using JavaScript. Attendees will need to bring their own laptop (no tablets) to participate in this class.","false","Hands-on","Intermediate","Aadit Tambe, The Washington Post; Carson TerBush, The Washington Post","","202","BYO","2",""
"1153","2026-03-05","3:45 PM","4:45 PM","Accessing data on deaths in custody","","true","Panel","","Ethan Corey, Behind Bars Data Project","Beat reporting","White River E","","1",""
"1222","2026-03-05","3:45 PM","4:45 PM","Elections 2026: How to track digital ads and political messaging","","true","Panel","","Anna Massoglia, MuckRock","Elections","White River B","","1",""
